120,8002800,Escola Mas Casanovas,1,Públic
121,8002873,Escola Bac de Roda,1,Públic
122,8002885,Escola Prosperitat,1,Públic
123,8002897,Escola Mestre Morera,1,Públic
208,8006052,Sant Josep Oriol,2,Privat
124,8002903,CEE Sant Joan de la Creu,1,Públic
125,8002915,Escola Brasil,1,Públic
126,8002927,Escola Joaquim Ruyra,1,Públic
127,8002952,Escola Enric Granados,1,Públic
128,8002976,Escola Ramon Casas,1,Públic
129,8002988,Escola Pare Poveda,1,Públic
130,8002991,Escola Cascavell,1,Públic
131,8003014,Jesús Maria,2,Privat
132,8003041,Sagrada Família,2,Privat
133,8003087,Sant Joan Baptista,2,Privat
134,8003154,LLI privada Bressol del Nen Jesús,2,Privat
135,8003294,Sant Felip Neri,2,Privat
136,8003336,Sagrat Cor,2,Privat
137,8003361,Maristes Anna Ravell,2,Privat
138,8003491,Escola De Bosc de Montjuïc,1,Públic
139,8003543,Salesià de Sant Josep,2,Privat
140,8003592,Maria Auxiliadora,2,Privat
141,8003609,Scuola dell'Infanzia Italiana parif. M. Montessori,2,Privat
142,8003610,Jesús Maria,2,Privat
143,8003658,Sant Francesc,2,Privat
144,8003671,JesuÏtes Poble Sec - Sant Pere Claver,2,Privat
145,8003695,Escola Bàrkeno,1,Públic
146,8003701,Alfageme,2,Privat
147,8003725,Garbiñe,2,Privat
148,8003774,Lexia,2,Privat
149,8003816,Thau,2,Privat
150,8003907,La Salle Bonanova,2,Privat
151,8003993,Canigó,2,Privat
152,8004018,Mary Ward,2,Privat
153,8004031,Sant Marc de Sarrià,2,Privat
154,8004067,Jesuïtes Sarrià - Sant Ignasi,2,Privat
155,8004080,Sil,2,Privat
156,8004122,Sagrado Corazón,2,Privat
157,8004171,Santa Anna-Eixample,2,Privat
158,8004195,Sant Gregori,2,Privat
159,8004201,Santa Teresa - Ganduxer,2,Privat
160,8004225,St. Peter's School,2,Privat
161,8004286,Escola Pia de Sarrià-Calassanç,2,Privat
162,8004316,Decroly,2,Privat
163,8004328,Nostra Senyora de Lurdes,2,Privat
164,8004389,Escola Reina Violant-Comas i Solà,1,Públic
165,8004390,Sant Pau,2,Privat
166,8004432,Istituto Italiano Statale c.sc.el.e.sec. I e II gr,2,Privat
167,8004471,Nausica,2,Privat
168,8004511,Betània-Patmos,2,Privat
169,8004523,Paideia,2,Privat
170,8004559,Abat Oliba-Loreto,2,Privat
171,8004626,Jesuïtes Sant Gervasi - Infant Jesús,2,Privat
172,8004641,Lys,2,Privat
173,8004705,Reial Monestir de Santa Isabel,2,Privat
174,8004717,Sagrat Cor-Sarrià,2,Privat
175,8004742,Jesús i Maria,2,Privat
176,8004778,Santa Dorotea,2,Privat
177,8004781,Salesians Sant Àngel,2,Privat
178,8004808,Casa del Roure,2,Privat
179,8004869,Peter Pan,2,Privat
180,8004900,Madres Concepcionistas de la Enseñanza,2,Privat
181,8004912,Montserrat,2,Privat
182,8005072,Sadako,2,Privat
183,8005102,La Salle Comtal,2,Privat
184,8005114,Mare del Diví Pastor,2,Privat
185,8005151,Sant Francesc Xavier,2,Privat
186,8005199,Jesuïtes Casp - Sagrat Cor de Jesús,2,Privat
187,8005205,Pérez Iborra,2,Privat
188,8005242,Escola Pia de Nostra Senyora,2,Privat
189,8005266,Sagrat Cor-Diputació,2,Privat
190,8005357,Collège Ferdinand de Lesseps,2,Privat
191,8005370,Jesuïtes Gràcia - Kostka,2,Privat
192,8005382,Escolàpies Llúria-Barcelona,2,Privat
193,8005394,Lestonnac,2,Privat
